description,crew,duration,cast_images,poster_image,rating,cast,Comments,name,language,release_date,category,trailer,age_rating,promoLink,censorship,storyLine,directors,actors,status,genre
"After the devastating events of Avengers: Infinity War, the universe is in ruins. The Avengers assemble once more to reverse Thanos' actions and restore balance.","{'producer': 'Kevin Feige', 'writer': 'Christopher Markus', 'director': 'Anthony Russo'}",181 minutes,"['https://m.media-amazon.com/images/M/MV5BNzg1MTUyNDYxOF5BMl5BanBnXkFtZTgwNTQ4MTE2MjE@.V1_FMjpg_UX1000.jpg', 'https://m.media-amazon.com/images/M/MV5BNzQ0YWM1ODEtZDFkYy00MGJhLTkwZDUtMzVkZjljODU3ZTRmXkEyXkFqcGc@.V1_FMjpg_UX1000.jpg', 'https://m.media-amazon.com/images/M/MV5BM2JiYzA0ZGItNmFhYy00MjIyLWEwN2QtMzRmNDUyNjNiZjBiXkEyXkFqcGc@.V1_FMjpg_UX1000.jpg', 'https://m.media-amazon.com/images/M/MV5BOTU2MTI0NTIyNV5BMl5BanBnXkFtZTcwMTA4Nzc3OA@@.V1_FMjpg_UX1000.jpg']",https://image.tmdb.org/t/p/original/or06FN3Dka5tukK1e9sl16pB3iy.jpg,8.4,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","[{'comment': 'Great movie!', 'image': 'https://picsum.photos/', 'name': 'User1'}, {'comment': 'Loved the acting!', 'image': 'https://picsum.photos/', 'name': 'User2'}, {'comment': 'The storyline was fantastic.', 'image': 'https://picsum.photos/', 'name': 'User3'}]",Avengers: Endgame,English,2019-04-26,Action,https://www.youtube.com/watch?v=TcMBFSGVi1c,PG-13,,,,,,,
"T'Challa, the new king of Wakanda, faces challenges to his throne while striving to protect his people and their vibranium resources.","{'producer': 'Kevin Feige', 'writer': 'Ryan Coogler', 'director': 'Ryan Coogler'}",134 minutes,"['https://media.themoviedb.org/t/p/w300_and_h450_bestv2/nL16SKfyP1b7Hk6LsuWiqMfbdb8.jpg', 'https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1ZuljeZSIDnS3EJSfwX0Gck9fAc.jpg', 'https://media.themoviedb.org/t/p/w300_and_h450_bestv2/y40Wu1T742kynOqtwXASc5Qgm49.jpg', 'https://media.themoviedb.org/t/p/w300_and_h450_bestv2/z7H7QeQvr24vskGlANQhG43vozQ.jpg', 'https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jj2kZqJobjom36wlhlYhc38nTwN.jpg', 'https://media.themoviedb.org/t/p/w300_and_h450_bestv2/f7PevpEeBqwzACPhoZ8K3ktrKvE.jpg']",https://image.tmdb.org/t/p/original/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,7.3,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira']","[{'comment': 'Great movie!', 'image': 'https://picsum.photos/', 'name': 'User1'}, {'comment': 'Loved the acting!', 'image': 'https://picsum.photos/', 'name': 'User2'}, {'comment': 'The storyline was fantastic.', 'image': 'https://picsum.photos/', 'name': 'User3'}]",Black Panther,English,2018-02-16,Action,https://image.tmdb.org/t/p/w600_and_h900_bestv2/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,PG-13,,,,,,,
"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather.","{'producer': 'Darla K. Anderson', 'writer': 'Adrian Molina', 'director': 'Lee Unkrich'}",105 minutes,"['https://m.media-amazon.com/images/M/MV5BOGJjNjhhMzktZmE5Yy00Zjg1LWI3YWUtNzc5Njg3ZjM1ZDM2XkEyXkFqcGc@.V1.jpg', 'https://m.media-amazon.com/images/M/MV5BMTkzNjg4NzMwNF5BMl5BanBnXkFtZTYwMjExNjQ0.V1_FMjpg_UX1000.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Benjamin_Bratt_at_the_2024_Toronto_International_Film_Festival_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Alanna_050413_0024.jpg']",https://image.tmdb.org/t/p/original/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg,8.4,"['Anthony Gonzalez', 'Gael Garcia Bernal', 'Benjamin Bratt', 'Alanna Ubach']","[{'comment': 'Great movie!', 'image': 'https://picsum.photos/', 'name': 'User1'}, {'comment': 'Loved the acting!', 'image': 'https://picsum.photos/', 'name': 'User2'}, {'comment': 'The storyline was fantastic.', 'image': 'https://picsum.photos/', 'name': 'User3'}]",Coco,English,2017-11-22,Animation,https://www.youtube.com/watch?v=Rvr68u6k5sI,PG,,,,,,,
"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75.","{'producer': 'Wendy Finerman', 'writer': 'Eric Roth', 'director': 'Robert Zemeckis'}",142 minutes,"['https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@.V1_FMjpg_UX1000.jpg', 'https://m.media-amazon.com/images/M/MV5BMTU0NTc4MzEyOV5BMl5BanBnXkFtZTcwODY0ODkzMQ@@.V1_FMjpg_UX1000.jpg', 'https://m.media-amazon.com/images/M/MV5BMzE4NzcyMzU3OV5BMl5BanBnXkFtZTYwOTM2NDE2.V1_FMjpg_UX1000.jpg', 'https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcS0BZU-QNuSAoAvVuYE67GUPCcPFmL0qwYVzyHZVuIz9d5dBNZPNJk89ii7a2Z117KsWYdSVU8jMlgz0q4']",https://image.tmdb.org/t/p/original/h5J4W4veyxMXDMjeNxZI46TsHOb.jpg,8.8,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Mykelti Williamson']","[{'comment': 'Great movie!', 'image': 'https://picsum.photos/', 'name': 'User1'}, {'comment': 'Loved the acting!', 'image': 'https://picsum.photos/', 'name': 'User2'}, {'comment': 'The storyline was fantastic.', 'image': 'https://picsum.photos/', 'name': 'User3'}]",Forrest Gump,English,1994-07-06,Drama,https://www.youtube.com/watch?v=bLvqoHBptjg,PG-13,,,,,,,
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"{'producer': 'Douglas Wick', 'writer': 'David Franzoni', 'director': 'Ridley Scott'}",155 minutes,"['https://m.media-amazon.com/images/M/MV5BMTQyMTExNTMxOF5BMl5BanBnXkFtZTcwNDg1NzkzNw@@.V1.jpg', 'https://m.media-amazon.com/images/M/MV5BYjFjNGYzYjEtNGE0Ny00M2IyLTk5ZmYtODE3ZGFkMzVjYmNmXkEyXkFqcGc@.V1.jpg', 'https://ntvb.tmsimg.com/assets/assets/155555_v9_bb.jpg', 'https://m.media-amazon.com/images/M/MV5BMTM3NDg5MDg1MF5BMl5BanBnXkFtZTcwNzEwODkyOA@@.V1_FMjpg_UX1000.jpg']",https://image.tmdb.org/t/p/w600_and_h900_bestv2/6lq6HupwufK5ogPKLA4npKcIXuV.jpg,8.5,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']","[{'comment': 'Great movie!', 'image': 'https://picsum.photos/', 'name': 'User1'}, {'comment': 'Loved the acting!', 'image': 'https://picsum.photos/', 'name': 'User2'}, {'comment': 'The storyline was fantastic.', 'image': 'https://picsum.photos/', 'name': 'User3'}]",Gladiator,English,2000-05-05,Action,https://www.youtube.com/watch?v=owK1qxDselE,R,,,,,,,
An American action film about an adventurer trying to save his family from a dangerous gang.,"{'producer': 'Warner Bros.', 'writer': 'John Smith', 'director': 'David Lynch'}",140 minutes,"['https://media.themoviedb.org/t/p/w300_and_h450_bestv2/djq5j4VVUxpnCvrTnqaax4n3pqD.jpg', 'https://image.tmdb.org/t/p/w300_and_h450_bestv2/jPsLqiYGSofU4s6BjrxnefMfabb.jpg', 'https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fZTpJH57gFkFJpCuhhFL0VuYdA1.jpg', 'https://media.themoviedb.org/t/p/w300_and_h450_bestv2/28CTcPxLKpDnLL2FrM3u9xXbish.jpg']",https://image.tmdb.org/t/p/w600_and_h900_bestv2/4R1nVEQBY1GebaRzc6lwFPyxKG0.jpg,8.0,"['Luke Hemsworth', 'Morgan Freeman', 'Josep Baena', 'Maurice P.kerry']","[{'comment': 'Great movie!', 'image': 'https://picsum.photos/', 'name': 'User1'}, {'comment': 'Loved the acting!', 'image': 'https://picsum.photos/', 'name': 'User2'}, {'comment': 'The storyline was fantastic.', 'image': 'https://picsum.photos/', 'name': 'User3'}]",Gunner,English,2024-05-05,Action,https://www.youtube.com/watch?v=0PEOojf2ghQ&ab_channel=WarnerBros.Entertainment,R,,,,,,,
A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,"{'producer': 'Emma Thomas', 'writer': 'Christopher Nolan', 'director': 'Christopher Nolan'}",148 minutes,"['https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@.V1_FMjpg_UX1000.jpg', 'https://m.media-amazon.com/images/M/MV5BMTY3NTk0NDI3Ml5BMl5BanBnXkFtZTgwNDA3NjY0MjE@.V1_FMjpg_UX1000.jpg', 'https://i.guim.co.uk/img/media/8cccbae033fe05183f5ca6d26e130ccfff6582b3/0_662_4388_2633/master/4388.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=da8a543cbe2949856abf3c17c2abfa03', 'https://hips.hearstapps.com/hmg-prod/images/9th-annual-ves-awards---red-carpet.jpg']",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@.V1_FMjpg_UX1000.jpg,8.8,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Tom Hardy']","[{'comment': 'Great movie!', 'image': 'https://picsum.photos/', 'name': 'User1'}, {'comment': 'Loved the acting!', 'image': 'https://picsum.photos/', 'name': 'User2'}, {'comment': 'The storyline was fantastic.', 'image': 'https://picsum.photos/', 'name': 'User3'}]",Inception,English,2010-07-16,Science Fiction,https://www.youtube.com/watch?v=YoHD9XEInc0,PG-13,,,,,,,
A group of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"{'producer': 'Emma Thomas', 'writer': 'Jonathan Nolan', 'director': 'Christopher Nolan'}",169 minutes,"['https://m.media-amazon.com/images/M/MV5BMTg0MDc3ODUwOV5BMl5BanBnXkFtZTcwMTk2NjY4Nw@@.V1_FMjpg_UX1000.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Anne_Hathaway-68211_%28cropped_2%29.jpg/800px-Anne_Hathaway-68211_%28cropped_2%29.jpg', 'https://m.media-amazon.com/images/M/MV5BMTU1MDM5NjczOF5BMl5BanBnXkFtZTcwOTY2MDE4OA@@.V1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Michael_Caine_-Viennale_2012_a%28cropped%29.jpg/800px-Michael_Caine_-Viennale_2012_a%28cropped%29.jpg']",https://image.tmdb.org/t/p/original/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,8.6,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Michael Caine']","[{'comment': 'Great movie!', 'image': 'https://picsum.photos/', 'name': 'User1'}, {'comment': 'Loved the acting!', 'image': 'https://picsum.photos/', 'name': 'User2'}, {'comment': 'The storyline was fantastic.', 'image': 'https://picsum.photos/', 'name': 'User3'}]",Interstellar,English,2014-11-07,Science Fiction,https://www.youtube.com/watch?v=zSWdZVtXT7E,PG-13,,,,,,,
"In Gotham's fractured society, a struggling comedian's descent into madness becomes a tale of psychological exploration.","{'producer': 'Bradley Cooper', 'writer': 'Todd Phillips', 'director': 'Todd Phillips'}",122 minutes,"['https://cdn.britannica.com/63/215263-050-6C78005B/American-actor-Joaquin-Phoenix-2020.jpg', 'https://stellaadler.com/wp-content/uploads/2015/08/10-1.jpg', 'https://hips.hearstapps.com/hmg-prod/images/atl-ep10-rdm-0736r-1652914924.jpg?crop=0.6353333333333333xw:1xh;center,top&resize=640:*', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Frances_Conroy_at_PaleyFest_2014_-13491478183.jpg/800px-Frances_Conroy_at_PaleyFest_2014-_13491478183.jpg']",https://image.tmdb.org/t/p/original/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,8.4,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']","[{'comment': 'Great movie!', 'image': 'https://picsum.photos/', 'name': 'User1'}, {'comment': 'Loved the acting!', 'image': 'https://picsum.photos/', 'name': 'User2'}, {'comment': 'The storyline was fantastic.', 'image': 'https://picsum.photos/', 'name': 'User3'}]",Joker,English,2019-10-04,Drama,https://www.youtube.com/watch?v=zAGVQLHvwOY,R,,,,,,,
Moana returns in a new adventure to explore uncharted lands and save her people from a major threat.,"{'producer': 'Disney', 'writer': 'Jennifer Lee', 'director': 'John Musker'}",120 minutes,"['https://media.themoviedb.org/t/p/w300_and_h450_bestv2/vEroqcnM2g6yY7qXDAie7hx2Cyp.jpg', 'https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5QApZVV8FUFlVxQpIK3Ew6cqotq.jpg', 'https://media.themoviedb.org/t/p/w300_and_h450_bestv2/zQa39fMjbOTIsovbh1TBTJVlToz.jpg']",https://image.tmdb.org/t/p/w600_and_h900_bestv2/4YZpsylmjHbqeWzjKpUEF8gcLNW.jpg,8.8,"[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rose Matafeo']","[{'comment': 'Great movie!', 'image': 'https://picsum.photos/', 'name': 'User1'}, {'comment': 'Loved the acting!', 'image': 'https://picsum.photos/', 'name': 'User2'}, {'comment': 'The storyline was fantastic.', 'image': 'https://picsum.photos/', 'name': 'User3'}]",Moana 2,English,2024-12-20,Animation,https://www.youtube.com/watch?v=hDZ7y8RP5HE&ab_channel=WaltDisneyAnimationStudios,PG,,,,,,,
